athlete_or_team,birthplace_county,confidence,source,notes
Douglas Wakiihuri,,none,,birthplace not found on Wikipedia
Edwin Cheruiyot Soi,Kericho,high,wikipedia:Edwin_Cheruiyot_Soi,"( 1986-03-03 ) 3 March 1986 (age 40) Kericho , Kenya"
Eliud Kipchoge,Nandi,high,wikipedia:Eliud_Kipchoge,"( 1984-11-05 ) 5 November 1984 (age 41) [ 1 ] Kapsisiywa, Rift Valley Province , Kenya (today in Nandi County ) [ 1 ]"
Emmanuel Korir,Elgeyo-Marakwet,high,wikipedia:Emmanuel_Korir,"( 1995-06-15 ) 15 June 1995 (age 31) Iten , Elgeyo-Marakwet County , Kenya"
Emmanuel Wanyonyi,Trans Nzoia,medium,wikipedia:Emmanuel_Wanyonyi,"1 August 2004 ( 2004-08 ) (age 22) Kapretwa, Trans-Nzoia County , Kenya"
Erick Wainaina,,none,,birthplace not found on Wikipedia
Eunice Jepkorir,,none,,birthplace not found on Wikipedia
Ezekiel Kemboi,,low,wikipedia:Ezekiel_Kemboi,"( 1982-05-25 ) 25 May 1982 (age 44) [ 1 ] Matira , Rift Valley Province , Kenya [ 1 ]"
Faith Cherotich,Kericho,high,wikipedia:Faith_Cherotich,"( 2004-07-13 ) 13 July 2004 (age 22) Kericho County , Kenya"
Faith Kipyegon,Nakuru,high,wikipedia:Faith_Kipyegon,"( 1994-01-10 ) 10 January 1994 (age 32) [ 1 ] Nakuru , Rift Valley Province , Kenya"
Ferguson Rotich,Kericho,high,wikipedia:Ferguson_Rotich,"( 1989-11-30 ) 30 November 1989 (age 36) Kericho , Kenya"
Fred Onyancha,,none,,birthplace not found on Wikipedia
Hellen Obiri,Kisii,high,wikipedia:Hellen_Obiri,"( 1989-12-13 ) 13 December 1989 (age 36) Kisii , Kenya"
Hyvin Jepkemoi,,low,wikipedia:Hyvin_Jepkemoi,( 1992-01-13 ) 13 January 1992 (age 34)
Hyvin Kiyeng Jepkemoi,,low,wikipedia:Hyvin_Kiyeng_Jepkemoi,( 1992-01-13 ) 13 January 1992 (age 34)
Ibrahim Bilali,,none,,birthplace not found on Wikipedia
Isabella Ochichi,,none,,birthplace not found on Wikipedia
